Region,Date,Estimated Unemployment Rate (%),Estimated Labour Participation Rate (%),Area,Estimated Employed Rate (%),Year,Month_num,Month
Odisha,2019-05-31,4.17,40.47,Rural,36.3,2019.0,5.0,May
Odisha,2019-06-30,4.71,39.94,Rural,35.23,2019.0,6.0,June
Odisha,2019-07-31,3.31,43.05,Rural,39.739999999999995,2019.0,7.0,July
Odisha,2019-08-31,3.68,42.13,Rural,38.45,2019.0,8.0,August
Odisha,2019-09-30,4.31,40.32,Rural,36.01,2019.0,9.0,September
Odisha,2019-10-31,4.28,41.88,Rural,37.6,2019.0,10.0,October
Odisha,2019-11-30,4.72,44.06,Rural,39.34,2019.0,11.0,November
Odisha,2019-12-31,4.67,40.91,Rural,36.239999999999995,2019.0,12.0,December
Odisha,2020-01-31,1.81,39.09,Rural,37.28,2020.0,1.0,January
Odisha,2020-02-29,3.31,41.98,Rural,38.669999999999995,2020.0,2.0,February
Odisha,2020-03-31,15.09,39.55,Rural,24.459999999999997,2020.0,3.0,March
Odisha,2020-04-30,24.48,25.16,Rural,0.6799999999999997,2020.0,4.0,April
Odisha,2020-05-31,9.45,36.48,Rural,27.029999999999998,2020.0,5.0,May
Odisha,2020-06-30,4.59,36.36,Rural,31.77,2020.0,6.0,June
Puducherry,2019-05-31,0.0,43.08,Rural,43.08,2019.0,5.0,May
Puducherry,2019-06-30,0.0,45.95,Rural,45.95,2019.0,6.0,June
Puducherry,2019-07-31,0.0,34.56,Rural,34.56,2019.0,7.0,July
Puducherry,2019-08-31,4.85,47.83,Rural,42.98,2019.0,8.0,August
Puducherry,2019-09-30,0.0,43.34,Rural,43.34,2019.0,9.0,September
Puducherry,2019-10-31,1.18,44.85,Rural,43.67,2019.0,10.0,October
Puducherry,2019-11-30,0.0,35.0,Rural,35.0,2019.0,11.0,November
Puducherry,2019-12-31,1.99,45.07,Rural,43.08,2019.0,12.0,December
Puducherry,2020-01-31,0.58,43.18,Rural,42.6,2020.0,1.0,January
Puducherry,2020-02-29,1.74,45.38,Rural,43.64,2020.0,2.0,February
Puducherry,2020-03-31,2.31,35.23,Rural,32.919999999999995,2020.0,3.0,March
Puducherry,2020-04-30,74.51,46.79,Rural,-27.720000000000006,2020.0,4.0,April
Punjab,2019-05-31,9.17,44.79,Rural,35.62,2019.0,5.0,May
Punjab,2019-06-30,12.21,45.79,Rural,33.58,2019.0,6.0,June
Punjab,2019-07-31,9.64,46.5,Rural,36.86,2019.0,7.0,July
Punjab,2019-08-31,6.69,44.08,Rural,37.39,2019.0,8.0,August
Punjab,2019-09-30,8.59,45.49,Rural,36.900000000000006,2019.0,9.0,September
Punjab,2019-10-31,12.56,45.66,Rural,33.099999999999994,2019.0,10.0,October
Punjab,2019-11-30,7.07,45.55,Rural,38.48,2019.0,11.0,November
Punjab,2019-12-31,6.13,43.4,Rural,37.269999999999996,2019.0,12.0,December
Punjab,2020-01-31,9.69,45.22,Rural,35.53,2020.0,1.0,January
Punjab,2020-02-29,10.41,44.19,Rural,33.78,2020.0,2.0,February
Punjab,2020-03-31,10.51,46.85,Rural,36.34,2020.0,3.0,March
Punjab,2020-04-30,3.69,32.2,Rural,28.51,2020.0,4.0,April
Punjab,2020-05-31,40.59,41.14,Rural,0.5499999999999972,2020.0,5.0,May
Punjab,2020-06-30,20.0,43.9,Rural,23.9,2020.0,6.0,June
Rajasthan,2019-05-31,4.03,38.52,Rural,34.49,2019.0,5.0,May
Rajasthan,2019-06-30,13.7,41.02,Rural,27.320000000000004,2019.0,6.0,June
Rajasthan,2019-07-31,9.7,39.78,Rural,30.080000000000002,2019.0,7.0,July
Rajasthan,2019-08-31,12.5,41.48,Rural,28.979999999999997,2019.0,8.0,August
Rajasthan,2019-09-30,5.45,39.24,Rural,33.79,2019.0,9.0,September
Rajasthan,2019-10-31,14.66,42.69,Rural,28.029999999999998,2019.0,10.0,October
Rajasthan,2019-11-30,10.47,40.87,Rural,30.4,2019.0,11.0,November
Rajasthan,2019-12-31,13.96,43.0,Rural,29.04,2019.0,12.0,December
Rajasthan,2020-01-31,8.0,40.12,Rural,32.12,2020.0,1.0,January
Rajasthan,2020-02-29,14.48,41.83,Rural,27.349999999999998,2020.0,2.0,February
Rajasthan,2020-03-31,9.47,39.47,Rural,30.0,2020.0,3.0,March
Rajasthan,2020-04-30,12.25,35.21,Rural,22.96,2020.0,4.0,April
Rajasthan,2020-05-31,10.45,41.11,Rural,30.66,2020.0,5.0,May
Rajasthan,2020-06-30,13.86,43.98,Rural,30.119999999999997,2020.0,6.0,June
Sikkim,2019-10-31,5.48,44.06,Rural,38.58,2019.0,10.0,October
Sikkim,2019-11-30,13.11,53.04,Rural,39.93,2019.0,11.0,November
Sikkim,2019-12-31,1.0,46.3,Rural,45.3,2019.0,12.0,December
Sikkim,2020-04-30,0.0,37.72,Rural,37.72,2020.0,4.0,April
